epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,661.32,0.29488,0.96196,1,0.09565,0.000555024,0.000555024,0.000555024
2,1307.44,0.19699,0.95766,1,0.11153,0.00110392,0.00110392,0.00110392
3,1926.08,0.18907,0.95534,1,0.12625,0.00162599,0.00162599,0.00162599
4,2621.54,0.17308,0.96957,1,0.08088,0.00157706,0.00157706,0.00157706
5,3288.63,0.14511,0.97651,1,0.0692,0.00150941,0.00150941,0.00150941
6,3930.71,0.12977,0.97883,1,0.05713,0.00142531,0.00142531,0.00142531
7,4559.05,0.11716,0.97784,1,0.06526,0.00132685,0.00132685,0.00132685
8,5197.09,0.10646,0.97321,1,0.05806,0.00121645,0.00121645,0.00121645
9,5832.89,0.09865,0.97585,1,0.06031,0.00109683,0.00109683,0.00109683
10,7153.4,0.08929,0.98511,1,0.04105,0.000970919,0.000970919,0.000970919
11,7937.25,0.07768,0.98346,1,0.0448,0.000841835,0.000841835,0.000841835
12,8667.5,0.07097,0.98445,1,0.04227,0.000712751,0.000712751,0.000712751
13,9362.06,0.05916,0.98445,1,0.04324,0.000586845,0.000586845,0.000586845
14,10032.1,0.05685,0.98743,1,0.03888,0.000467218,0.000467218,0.000467218
15,10784.2,0.05172,0.98776,1,0.03881,0.000356815,0.000356815,0.000356815
16,11651.8,0.04534,0.98908,1,0.03861,0.000258355,0.000258355,0.000258355
17,12511.9,0.03961,0.9871,1,0.03894,0.000174262,0.000174262,0.000174262
18,13348,0.0364,0.98908,1,0.03899,0.000106608,0.000106608,0.000106608
19,14184.9,0.034,0.99008,1,0.03941,5.70564e-05,5.70564e-05,5.70564e-05
20,15019.6,0.03326,0.9914,1,0.03761,2.68292e-05,2.68292e-05,2.68292e-05
