epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,871.67,1.56924,0.94325,1,0.20566,0.00011486,0.00011486,0.00011486
2,1679.08,0.26353,0.96309,1,0.10669,0.000228459,0.000228459,0.000228459
3,2450.36,0.16474,0.97946,1,0.06451,0.000336505,0.000336505,0.000336505
4,3195.34,0.1268,0.98712,1,0.04651,0.000326387,0.000326387,0.000326387
5,3953.14,0.10385,0.98886,1,0.03719,0.000312385,0.000312385,0.000312385
6,4700.04,0.08482,0.98642,1,0.03581,0.000294981,0.000294981,0.000294981
7,5406.67,0.07571,0.98712,1,0.03239,0.000274604,0.000274604,0.000274604
8,6008.15,0.06656,0.9913,1,0.02473,0.000251755,0.000251755,0.000251755
9,6592.93,0.0562,0.9899,1,0.02845,0.000226997,0.000226997,0.000226997
10,7179.37,0.0573,0.99095,1,0.02797,0.00020094,0.00020094,0.00020094
11,7776.04,0.04644,0.99095,1,0.03128,0.000174225,0.000174225,0.000174225
12,8362.93,0.04297,0.99513,1,0.02377,0.00014751,0.00014751,0.00014751
13,581.507,0.03986,0.99373,1,0.022,0.000121453,0.000121453,0.000121453
14,1128.88,0.03277,0.99338,1,0.02313,9.66948e-05,9.66948e-05,9.66948e-05
15,1660.97,0.03411,0.99408,1,0.02166,7.3846e-05,7.3846e-05,7.3846e-05
16,2196.88,0.03192,0.99443,1,0.02061,5.34688e-05,5.34688e-05,5.34688e-05
17,2723.54,0.02913,0.99373,1,0.02281,3.60651e-05,3.60651e-05,3.60651e-05
18,3259.15,0.02701,0.99478,1,0.02208,2.20634e-05,2.20634e-05,2.20634e-05
19,4119.17,0.02443,0.99513,1,0.01978,1.18083e-05,1.18083e-05,1.18083e-05
20,4683.64,0.02668,0.99513,1,0.02143,5.55252e-06,5.55252e-06,5.55252e-06
