epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1538.56,0.24301,0.95888,1,0.11614,0.000555044,0.000555044,0.000555044
2,3035.39,0.16041,0.96168,1,0.10186,0.00100075,0.00100075,0.00100075
3,4492.18,0.15498,0.95138,1,0.12433,0.00133643,0.00133643,0.00133643
4,5967.52,0.14322,0.97065,1,0.07539,0.0011719,0.0011719,0.0011719
5,7426.63,0.12232,0.97156,1,0.07438,0.00100687,0.00100687,0.00100687
6,8871.35,0.10728,0.9745,1,0.06248,0.000841835,0.000841835,0.000841835
7,10327.6,0.0948,0.97856,1,0.04919,0.000676802,0.000676802,0.000676802
8,11723,0.08517,0.98025,1,0.04926,0.000511769,0.000511769,0.000511769
9,13113.8,0.07174,0.98256,1,0.04205,0.000346736,0.000346736,0.000346736
10,14498.9,0.05889,0.98186,1,0.0439,0.000181703,0.000181703,0.000181703
